ID,Num,Gini,Var,GM,ldlPFC,rdlPFC,rvlPFC,rdmPFC,lMTG,lSPL,rSPL
1001,1,0.25,0.39,0.62,1,0,0,0,0,0,0
1001,2,0.23,0.6,0.17,1,0,0,0,0,0,0
1001,3,0.2,0.36,0.44,1,0,0,0,0,0,0
1001,4,0.34,0.25,0.51,1,0,0,0,0,0,0
1001,5,0.32,0.89,0.95,1,0,0,0,0,0,0
1001,6,0.31,0.33,0.83,1,0,0,0,0,0,0
1001,7,0.35,0.7,0.3,1,0,0,0,0,0,0
1001,8,0.22,0.34,0.89,0,0,0,0,1,0,0
1001,9,0.27,0.36,0.62,0,0,0,0,1,0,0
1001,10,0.31,0.56,1,0,0,0,0,0,1,0
1001,11,0.23,0.38,0.03,0,0,0,0,0,1,0
1001,12,0.4,0.89,0.47,0,0,0,0,0,1,0
1001,13,0.32,0.45,0.71,0,0,0,0,0,1,0
1001,14,0.21,0.46,0.22,0,0,0,0,0,1,0
1001,15,0.29,0.4,0.43,0,1,0,0,0,0,0
1001,16,0.3,0.37,0.58,0,1,0,0,0,0,0
1001,17,0.23,0.49,0.75,0,1,0,0,0,0,0
1001,18,0.29,0.47,0.84,0,1,0,0,0,0,0
1001,19,0.28,0.17,0.82,0,0,0,1,0,0,0
1001,20,0.3,0.36,0.78,0,0,0,1,0,0,0
1001,21,0.33,0.45,0.54,0,0,0,1,0,0,0
1001,22,0.3,0.29,0.88,0,0,0,1,0,0,0
1001,23,0.3,0.44,0.1,0,0,0,1,0,0,0
1001,24,0.24,0.28,0.9,0,0,0,1,0,0,0
1001,25,0.24,0.45,0.83,0,0,0,1,0,0,0
1001,26,0.2,0.59,0.73,0,0,0,0,0,0,1
1001,27,0.33,0.74,0.73,0,0,0,0,0,0,1
1001,28,0.36,0.49,0.92,0,0,0,0,0,0,1
1001,29,0.28,0.7,0.77,0,0,0,0,0,0,1
1001,30,0.19,0.62,0.91,0,0,1,0,0,0,0
1001,31,0.25,0.49,0.45,0,0,1,0,0,0,0
1001,32,0.21,0.33,0.15,0,0,1,0,0,0,0
1002,1,0.41,0.72,0.46,1,0,0,0,0,0,0
1002,2,0.33,0.68,0.84,1,0,0,0,0,0,0
1002,3,0.2,0.63,0.58,1,0,0,0,0,0,0
